Index,Temps,Hexadecimal_sans_p,Hexadecimal
2167,17736016283,8D3986EC58970550EDE702,8D3986EC58970550EDE7023682C0
2168,17738584224,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2169,17933359354,8D3986EC589321C04BE2EF,8D3986EC589321C04BE2EF0047D5
2170,18705172071,8D40766D990CC733F00414,8D40766D990CC733F004140975F8
2171,18709052787,8D40766D990CC733F00414,8D40766D990CC733F004140975F8
2172,18720502416,8D40766D990CC733F00414,8D40766D990CC733F004140975F8
2173,18724002362,8D40766D58C3855CE9E4A1,8D40766D58C3855CE9E4A16E37C1
2174,18724500950,8D40766D990CC733F00414,8D40766D990CC733F004140975F8
2175,18727560786,8D40766D58C3855D3BE48E,8D40766D58C3855D3BE48E91C3C8
2176,18727560787,8D40766D58C3855D3BE48E,8D40766D58C3855D3BE48E91C3C8
2177,18731561351,8D40766D58C3855D8DE47B,8D40766D58C3855D8DE47B91C3C8
2178,18732695651,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2179,18733895496,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2180,18733895497,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2181,18735515282,8D40766D58C3855DE7E466,8D40766D58C3855DE7E46691C3C8
2182,18736567497,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2183,18739467532,8D40766DF82100020049B8,8D40766DF82100020049B81DE0F0
2184,18739467533,8D40766DF82100020049B8,8D40766DF82100020049B81DE0F0
2185,18739747324,8D40766D58C381DDAFE3A4,8D40766D58C381DDAFE3A4AEF308
2186,18739747325,8D40766D58C381DDAFE3A4,8D40766D58C381DDAFE3A4AEF308
2187,18739967549,8D40766D231584F9D862E0,8D40766D231584F9D862E014FEC0
2188,18740007900,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2189,18743060882,8D40766DE119AD00000000,8D40766DE119AD000000005E4F9E
2190,18743260463,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2191,18743620457,8D40766D58C381DE03E390,8D40766D58C381DE03E390511B1A
2192,18743800420,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2193,18746795252,8D40766D58C381DE4FE37E,8D40766D58C381DE4FE37E511B1A
2194,18747377523,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2195,18750583432,8D40766D58C381DEA3E36B,8D40766D58C381DEA3E36B511B1A
2196,18751083920,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2197,18752598451,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2198,18754178035,8D40766D58C3855F7BE408,8D40766D58C3855F7BE40891DFD3
2199,18754758050,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2200,18757871433,8D40766DF82100020049B8,8D40766DF82100020049B81DE0F0
2201,18757891103,8D40766D58C3855FD5E3F3,8D40766D58C3855FD5E3F391DFD3
2202,18758711576,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2203,18766819249,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2204,18771903941,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2205,18773674911,8D40766D58C3856127E3A4,8D40766D58C3856127E3A490AAFA
2206,18774016084,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2207,18777029736,8D40766D58C381E0EBE2E1,8D40766D58C381E0EBE2E1506E33
2208,18777929929,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2209,18778070140,8D40766D231584F9D862E0,8D40766D231584F9D862E014FEC0
2210,18780785058,8D40766D58C381E147E2CC,8D40766D58C381E147E2CCAF9A3A
2211,18781025161,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2212,18781126027,8D40766DE119AD00000000,8D40766DE119AD000000005E4F9E
2213,18782085926,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2214,18790643549,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2215,18795816598,8D40766D58C381E28DE27F,8D40766D58C381E28DE27F507228
2216,18803316844,8D40766D58C38563A7E30E,8D40766D58C38563A7E30E90B6E1
2217,18803978718,8D40766D990CC733F00414,8D40766D990CC733F004140975F8
2218,18807585235,8D40766D990CC733F00414,8D40766D990CC733F004140975F8
2219,18809663413,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2220,18811623817,8D40766D990CC733F00414,8D40766D990CC733F004140975F8
2221,18813568335,8D40766DF82100020049B8,8D40766DF82100020049B81DE0F0
2222,18814408386,8D40766D58C385649DE2D5,8D40766D58C385649DE2D56F66C5
2223,18815628850,8D40766D990CC733F80414,8D40766D990CC733F804140975F8
2224,18852652787,8D40766D990CC833D00414,8D40766D990CC833D00414533978
2225,18853712782,8D40766D231584F9D862E0,8D40766D231584F9D862E014FEC0
2226,18855632831,8D40766D58C385681DE203,8D40766D58C385681DE2036F2E9F
2227,18856809307,8D40766DE119AD00000000,8D40766DE119AD000000005E4F9E
2228,18857068376,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2229,18859708276,8D40766D58C3856877E1EE,8D40766D58C3856877E1EE6F2E9F
2230,18863262651,8D40766D58C381E85BE120,8D40766D58C381E85BE120501E5F
2231,18866524581,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2232,18870040215,8D40766DF82100020049B8,8D40766DF82100020049B81DE0F0
2233,18890340344,8D40766D58C381EAB3E092,8D40766D58C381EAB3E092500244
2234,18891602313,8D40766D231584F9D862E0,8D40766D231584F9D862E014FEC0
2235,18894220632,8D40766D58C381EB0FE07C,8D40766D58C381EB0FE07CAFF64D
2236,18897428336,8D40766D58C381EB53E06C,8D40766D58C381EB53E06CAFF64D
2237,18897688460,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2238,18900929647,8D40766D990CC833D00414,8D40766D990CC833D00414533978
2239,18901389136,8D40766D58C381EBA5E058,8D40766D58C381EBA5E058AFF64D
2240,18904069245,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2241,18904502722,8D40766D58C381EBF1E046,8D40766D58C381EBF1E046AFF64D
2242,18904763306,8D40766D990CC833D00414,8D40766D990CC833D00414533978
2243,18907483114,8D40766DF82100020049B8,8D40766DF82100020049B81DE0F0
2244,18907982784,8D40766D58C3856C91E0F7,8D40766D58C3856C91E0F76F16A9
2245,18908883222,8D40766D990CC833D80414,8D40766D990CC833D80414533978
2246,18911823051,8D40766D58C3856CE3E0E3,8D40766D58C3856CE3E0E36F16A9
2247,18911823052,8D40766D58C3856CE3E0E3,8D40766D58C3856CE3E0E36F16A9
2248,18912984809,8D40766D990CC833D80414,8D40766D990CC833D80414533978
2249,18913422968,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2250,18915962713,8D40766D58C3856D35E0D0,8D40766D58C3856D35E0D090E2A0
2251,18917184781,8D40766D990CC833D80414,8D40766D990CC833D80414533978
2252,18929122299,8D40766D231584F9D862E0,8D40766D231584F9D862E014FEC0
2253,18929122300,8D40766D231584F9D862E0,8D40766D231584F9D862E014FEC0
2254,18931722036,8D40766D58C381EE49DFB8,8D40766D58C381EE49DFB8503A72
2255,18933208877,8D40766DE119AD00000000,8D40766DE119AD000000005E4F9E
2256,18935506247,8D40766D58C3856EDFE06C,8D40766D58C3856EDFE06C6F0AB2
2257,18939081987,8D40766D58C3856F31E058,8D40766D58C3856F31E05890FEBB
2258,18939261924,8D40766D990CC833D80414,8D40766D990CC833D80414533978
2259,18941581567,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2260,18941581568,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2261,18943001384,8D40766D58C3856F8BE043,8D40766D58C3856F8BE04390FEBB
2262,18943001385,8D40766D58C3856F8BE043,8D40766D58C3856F8BE04390FEBB
2263,18943423559,8D40766D990CC833D80413,8D40766D990CC833D80413533978
2264,18943423560,8D40766D990CC833D80413,8D40766D990CC833D80413533978
2265,18946155250,8D40766D58C3856FCDE033,8D40766D58C3856FCDE03390FEBB
2266,18947635549,8D40766D990CC833D80414,8D40766D990CC833D80414533978
2267,18950227363,8D40766D58C385701FE020,8D40766D58C385701FE0206FBE2B
2268,18951147484,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2269,18954428159,8D40766D58C381F03FDF41,8D40766D58C381F03FDF41508EEB
2270,18954428160,8D40766D58C381F03FDF41,8D40766D58C381F03FDF41508EEB
2271,18955108385,8D40766D990CC833D80413,8D40766D990CC833D80413533978
2272,18958102723,8D40766D58C38570CBDFF8,8D40766D58C38570CBDFF86FBE2B
2273,18958702837,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2274,18961903122,8D40766D58C385711DDFE4,8D40766D58C385711DDFE4904A22
2275,18961903123,8D40766D58C385711DDFE4,8D40766D58C385711DDFE4904A22
2276,18962583240,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2277,18963303346,8D40766DF82100020049B8,8D40766DF82100020049B81DE0F0
2278,18965498590,8D40766D58C3857177DFCF,8D40766D58C3857177DFCF904A22
2279,18966879279,8D40766D231584F9D862E0,8D40766D231584F9D862E014FEC0
2280,18967058524,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2281,18969855840,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2282,18970695836,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2283,18971256561,8D40766DE119AD00000000,8D40766DE119AD000000005E4F9E
2284,18977477515,8D40766D58C385726DDF95,8D40766D58C385726DDF956FA230
2285,18978157922,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2286,18981676600,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2287,19011192970,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2288,19015158033,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2289,19019081013,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2290,19022689463,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2291,19025917293,8D40766D58C381F66FDDC9,8D40766D58C381F66FDDC950AAC6
2292,19026617113,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2293,19027017122,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2294,19029476881,8D40766D58C38576E1DE88,8D40766D58C38576E1DE886F9A06
2295,19030657646,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2296,19044518182,8D40766D990CC833D00413,8D40766D990CC833D00413533978
2297,19085898237,8D40766D58C381FB95DC91,8D40766D58C381FB95DC91AF1695
2298,19130739639,8D40766D990CC733D80413,8D40766D990CC733D804130975F8
2299,19138484217,8D40766D990CC733D80413,8D40766D990CC733D804130975F8
2300,19150099780,8D40766D990CC633D80413,8D40766D990CC633D80413077878
2301,19153219906,8D40766D58C3820161DB33,8D40766D58C3820161DB33B8C8AA
2302,19154288179,8D3415CFF82300020049B8,8D3415CFF82300020049B8CE1C5D
2303,19156772225,8D40766D58C38581ADDC00,8D40766D58C38581ADDC0095EEEA
2304,19157994354,8D40766D990CC633D80413,8D40766D990CC633D80413077878
2305,19159872455,8D40766DEA4A5867AB3C08,8D40766DEA4A5867AB3C08533B30
2306,19160702862,8D40766D58C38581FFDBED,8D40766D58C38581FFDBED95EEEA
2307,19166123283,8D40766D990CC633D80413,8D40766D990CC633D80413077878
2308,19200640264,8D3415CF990CC2AC300415,8D3415CF990CC2AC3004150F5C07
2309,19204618485,8D3415CF58BDF56FA9FAA5,8D3415CF58BDF56FA9FAA5AA256A
2310,19204698598,8D3415CF990CC2AC300415,8D3415CF990CC2AC3004150F5C07
2311,19211570794,8D3415CFF82300020049B8,8D3415CFF82300020049B8CE1C5D
2312,19213004251,8D3415CFEA485860013C08,8D3415CFEA485860013C087F17B9
2313,19219427578,8D3415CF58BF056E99FA5C,8D3415CF58BF056E99FA5C157DDE
2314,19224069849,8D3415CF990CC2AC500415,8D3415CF990CC2AC5004150F5C07
2315,19230106129,8D3415CFF82300020049B8,8D3415CFF82300020049B8CE1C5D
2316,19230145577,8D3415CFE11AA100000000,8D3415CFE11AA100000000C83D72
